1.bmp	20.76151327
2.bmp	41.10142818
3.bmp	64.31246779
4.bmp	88.26864426
5.bmp	60.65627574
6.bmp	24.32474079
7.bmp	30.60148965
8.bmp	76.54170289
9.bmp	39.08036546
10.bmp	78.68823622
11.bmp	67.21253174
12.bmp	76.87901287
13.bmp	60.51947799
14.bmp	66.13567624
15.bmp	59.51290332
16.bmp	69.49502569
17.bmp	56.21102837
18.bmp	79.88647878
19.bmp	68.22550796
20.bmp	69.33594712
21.bmp	54.37602837
22.bmp	24.12885824
23.bmp	23.61234224
24.bmp	62.24580216
25.bmp	63.94576953
26.bmp	22.12885824
27.bmp	65.55471598
28.bmp	30.22604306
29.bmp	56.52375251
30.bmp	60.67002297
31.bmp	67.04434497
32.bmp	68.95364065
33.bmp	64.5302411
34.bmp	61.56195907
35.bmp	58.50313899
36.bmp	45.25471598
37.bmp	65.61471598
38.bmp	48.55471598
39.bmp	85.67629669
40.bmp	58.02292271
41.bmp	46.6941032
42.bmp	72.68537635
43.bmp	54.85378721
44.bmp	59.06019266
45.bmp	59.33657432
46.bmp	58.62145265
47.bmp	43.6027868
48.bmp	61.94576953
49.bmp	47.31354613
50.bmp	33.16450589
51.bmp	71.74308755
52.bmp	49.65595378
53.bmp	84.01466658
54.bmp	68.95364065
55.bmp	73.9130329
56.bmp	55.09290605
57.bmp	19.86045497
58.bmp	54.75364065
59.bmp	85.85083259
60.bmp	58.95364065
61.bmp	41.26143932
62.bmp	68.9376414
63.bmp	35.91091596
64.bmp	33.35010344
65.bmp	36.76587233
66.bmp	35.65880003
67.bmp	39.15920847
68.bmp	58.82551332
69.bmp	64.5302411
70.bmp	64.5302411
71.bmp	48.82551332
72.bmp	31.14518176
73.bmp	57.2150981
74.bmp	61.18887054
75.bmp	64.18787872
76.bmp	65.13838025
77.bmp	70.22849413
78.bmp	58.95364065
79.bmp	22.77930413
80.bmp	81.01466658
81.bmp	21.86045497
82.bmp	85.23743578
83.bmp	81.49736799
84.bmp	79.1157551
85.bmp	58.19670954
86.bmp	67.14136413
87.bmp	86.69362827
88.bmp	64.18304019
89.bmp	74.09624262
90.bmp	74.9803731
91.bmp	54.29918466
92.bmp	50.26612206
93.bmp	33.73859421
94.bmp	88.35881807
95.bmp	62.56799589
96.bmp	67.18503883
97.bmp	67.49372792
98.bmp	86.41736926
99.bmp	20.85869111
100.bmp	67.89113555
101.bmp	52.02727884
102.bmp	43.64668025
103.bmp	52.28682425
104.bmp	68.35743424
105.bmp	50.54635104
106.bmp	31.64685998
107.bmp	76.86120089
108.bmp	75.62631058
109.bmp	40.7823996
110.bmp	75.36485064
111.bmp	26.30964214
112.bmp	22.63241359
113.bmp	66.210949
114.bmp	79.8985823
115.bmp	80.91508807
116.bmp	36.27741999
117.bmp	34.49106335
118.bmp	39.10341669
119.bmp	44.55100672
120.bmp	60.30510446
121.bmp	24.60241138
122.bmp	75.85735313
123.bmp	37.4450976
124.bmp	70.98381137
125.bmp	61.26671195
126.bmp	60.53507916
127.bmp	30.63241359
128.bmp	22.63241359
129.bmp	50.54453759
130.bmp	54.35012488
131.bmp	42.75323324
132.bmp	34.56758644
133.bmp	37.42281129
134.bmp	26.62496997
135.bmp	50.75539331
136.bmp	51.51370296
137.bmp	64.21741396
138.bmp	59.44554405
139.bmp	49.57874862
140.bmp	41.06004757
141.bmp	56.81989844
142.bmp	55.83013355
143.bmp	67.81783084
144.bmp	67.98994676
145.bmp	49.84478579
146.bmp	51.51477231
147.bmp	66.94356104
148.bmp	59.20966848
149.bmp	59.01003413
150.bmp	22.63241359
151.bmp	30.90695977
152.bmp	45.85974132
153.bmp	44.56135709
154.bmp	69.33045244
155.bmp	38.83877792
156.bmp	71.79093536
157.bmp	79.28421964
158.bmp	67.65621927
159.bmp	67.80169737
160.bmp	43.44884301
161.bmp	44.03743474
162.bmp	46.68439942
163.bmp	72.95483673
164.bmp	48.55543392
165.bmp	64.33288557
166.bmp	66.85409836
167.bmp	68.08704373
168.bmp	65.22150251
169.bmp	47.44425062
170.bmp	54.4732553
171.bmp	30.81695409
172.bmp	44.22903917
173.bmp	65.8532185
174.bmp	58.79365388
175.bmp	54.28765711
176.bmp	41.83546579
177.bmp	76.8475261
178.bmp	75.74530944
179.bmp	47.51709235
180.bmp	32.76016539
181.bmp	50.35940984
182.bmp	51.70842573
183.bmp	44.97398876
184.bmp	73.12740948
185.bmp	61.45497143
186.bmp	79.88116723
187.bmp	62.704614
188.bmp	77.37702024
189.bmp	63.54133127
